tournament,match_id,match_date,stage,referee,team,opponent,box_touches,box_entries,fouls_won_final3,def_box_contests,pens_for,pens_against,shots,xg,passes,fouls_won,fouls_committed,yellows,reds,duels,touches_final3,fouls_won_dzone,fk_shots,fk_xg,pen_xg
Copa2024,3939973,2024-06-24,Group Stage,Piero Maza Gomez,Uruguay,Panama,55,20,3,15,0,0,20,1.3614407430000002,448,12,17,0,0,26,365,0,0,0.0,0.0
Copa2024,3939973,2024-06-24,Group Stage,Piero Maza Gomez,Panama,Uruguay,32,14,5,26,0,0,10,0.540888124,377,17,13,1,0,36,276,1,1,0.07558904,0.0
Copa2024,3942229,2024-07-06,Quarter-finals,Wilton Pereira Sampaio,Canada,Venezuela,34,12,2,28,0,0,16,1.3510978860000002,384,8,13,2,0,54,222,1,0,0.0,0.0
Copa2024,3942229,2024-07-06,Quarter-finals,Wilton Pereira Sampaio,Venezuela,Canada,46,16,3,18,0,0,15,0.9220584957,476,12,8,1,0,52,348,1,0,0.0,0.0
Copa2024,3942228,2024-07-05,Quarter-finals,Andrés Matonte,Ecuador,Argentina,35,14,1,13,1,0,8,0.6050276160000001,392,14,16,2,0,26,169,0,1,0.05211886,0.7835
Copa2024,3942228,2024-07-05,Quarter-finals,Andrés Matonte,Argentina,Ecuador,30,10,2,20,0,1,8,0.858567997,401,14,15,2,0,35,284,0,0,0.0,0.0
Copa2024,3939985,2024-06-30,Group Stage,Wilmar Alexander Roldán Pérez,Canada,Chile,57,26,1,17,0,0,9,0.699493846,473,8,16,5,0,30,323,1,1,0.007882138,0.0
Copa2024,3939985,2024-06-30,Group Stage,Wilmar Alexander Roldán Pérez,Chile,Canada,22,7,4,29,0,0,8,0.45400930300000003,364,14,8,2,1,45,230,0,1,0.022303076,0.0
Copa2024,3939984,2024-06-28,Group Stage,Gustavo Tejera,Colombia,Costa Rica,51,18,6,6,1,0,17,2.118814693,566,18,20,2,0,27,319,2,0,0.0,0.7835
Copa2024,3939984,2024-06-28,Group Stage,Gustavo Tejera,Costa Rica,Colombia,9,3,0,21,0,1,5,0.165297975,335,19,19,1,0,41,129,0,0,0.0,0.0
Copa2024,3939981,2024-06-27,Group Stage,Ivan Arcides Barton Cisneros,United States,Panama,23,9,6,25,0,0,6,0.914278539,223,18,6,2,1,34,128,2,0,0.0,0.0
Copa2024,3939981,2024-06-27,Group Stage,Ivan Arcides Barton Cisneros,Panama,United States,55,18,1,9,0,0,13,0.730782593,596,6,19,3,1,22,507,0,0,0.0,0.0
Copa2024,3939989,2024-07-02,Group Stage,Edina Alves Batista,Bolivia,Panama,16,6,0,19,0,0,7,0.793431835,478,9,23,2,0,33,166,0,0,0.0,0.0
Copa2024,3939989,2024-07-02,Group Stage,Edina Alves Batista,Panama,Bolivia,42,13,6,7,0,0,13,1.3405597112999998,455,22,10,1,0,30,316,2,0,0.0,0.0
Copa2024,3939969,2024-06-21,Group Stage,Jesús Valenzuela Sáez,Canada,Argentina,42,13,2,25,0,0,10,0.9772994850000001,353,16,10,2,0,29,204,2,1,0.080919705,0.0
Copa2024,3939969,2024-06-21,Group Stage,Jesús Valenzuela Sáez,Argentina,Canada,76,27,3,13,0,0,19,3.538291301,652,10,19,2,0,16,425,0,1,0.06189222,0.0
